Date,Adj Close,Close,High,Low,Open,Volume
2022-10-21,52393.09375,55900,56300,55100,55100,11456060
2022-10-24,53892.71484,57500,57500,56700,57000,16944503
2022-10-25,54080.17188,57700,58600,57000,57000,17405678
2022-10-26,55673.51953,59400,59600,57700,58000,20824967
2022-10-27,55767.24219,59500,60100,58900,59700,21756712
2022-10-28,53705.26172,57300,59200,57200,58900,20924937
2022-10-31,55673.51953,59400,59900,58000,58100,18999514
2022-11-01,56235.87891,60000,60300,59500,59900,17201647
2022-11-02,55860.97266,59600,60000,59300,59700,13202919
2022-11-03,55486.05859,59200,59800,58100,58600,17492162
2022-11-04,55673.51953,59400,59500,58400,59100,12445841
2022-11-07,56423.32813,60200,60300,59400,59700,12437246
2022-11-08,57922.94531,61800,61900,60500,60500,18273898
2022-11-09,58110.40625,62000,62200,61300,62000,14045592
2022-11-10,56610.78125,60400,61500,60400,61400,21087633
2022-11-11,58953.94531,62900,63200,62300,63100,20037163
2022-11-14,58016.67188,61900,62900,61700,62900,15973416
2022-11-15,58485.30859,62400,62500,61600,62200,12310986
2022-11-16,58766.48438,62700,62700,61700,62400,12909260
2022-11-17,57548.04688,61400,62000,61300,62000,13298296
2022-11-18,57922.94531,61800,62400,61400,61800,12236503
2022-11-21,57548.04688,61400,61800,60800,61400,9378097
2022-11-22,56798.23438,60600,61200,60300,60900,9411289
2022-11-23,57173.13281,61000,61300,60700,61200,8765050
2022-11-24,57548.04688,61400,61700,60900,61200,8125010
2022-11-25,57173.13281,61000,61700,60800,61400,6677933
2022-11-28,56329.60156,60100,60500,59800,60500,8589032
2022-11-29,56798.23438,60600,60600,59800,59900,7014160
2022-11-30,58297.85547,62200,62200,60200,60400,19768903
2022-12-01,58672.75781,62600,63200,62300,63100,16631445
2022-12-02,56610.78125,60400,62500,60400,62500,15331184
2022-12-05,56517.05469,60300,61100,60000,60900,13767787
2022-12-06,55486.05859,59200,60100,59200,59800,13888300
2022-12-07,55204.88281,58900,59600,58500,58800,12100662
2022-12-08,55486.05859,59200,59200,58600,58700,12986815
2022-12-09,56610.78125,60400,60600,59300,59300,10529632
2022-12-12,55767.24219,59500,60000,59400,59900,9036472
2022-12-13,55954.69531,59700,60300,59400,59600,9040873
2022-12-14,56704.50781,60500,60600,59800,59800,8207485
2022-12-15,55579.79297,59300,60200,59300,59800,8716039
2022-12-16,55767.24219,59500,59500,58300,58300,13033596
2022-12-19,55767.24219,59500,59900,59100,59500,7696187
2022-12-20,54923.70313,58600,59100,58500,59000,9284761
2022-12-21,54361.33984,58000,59100,58000,58700,10356971
2022-12-22,55392.34375,59100,59100,58100,58100,10720630
2022-12-23,54455.07422,58100,58400,57700,58200,9829407
2022-12-26,54267.625,57900,58100,57700,58000,6756411
2022-12-27,54455.07422,58100,58400,57900,58000,10667027
2022-12-28,53380.86328,56600,57600,56400,57600,14665410
2022-12-29,52154.80078,55300,56200,55300,56000,11295935
2023-01-02,52343.41406,55500,56100,55200,55500,10031448
2023-01-03,52249.11328,55400,56000,54500,55400,13547030
2023-01-04,54512.60547,57800,58000,55600,55700,20188071
2023-01-05,54889.85547,58200,58800,57600,58200,15682826
2023-01-06,55644.34375,59000,59400,57900,58300,17334989
2023-01-09,57247.66016,60700,60700,59600,59700,18640107
2023-01-10,56964.72656,60400,61100,59900,60200,14859797
2023-01-11,57059.03906,60500,61200,60300,61000,12310751
2023-01-12,57059.03906,60500,61200,59900,61100,16102561
2023-01-13,57341.97656,60800,61200,60400,60500,12510328
2023-01-16,57624.91406,61100,61600,60800,61300,10039972
2023-01-17,57530.60156,61000,61500,60600,61200,9831456
2023-01-18,56964.72656,60400,61000,59900,60700,11584041
2023-01-19,58002.16406,61500,61500,60400,60500,12808490
2023-01-20,58285.10547,61800,62300,61100,62100,9646327
2023-01-25,59699.79297,63300,63700,63000,63500,39217
2023-01-26,60171.35547,63800,63900,63300,63800,54188
2023-01-27,60925.85156,64600,65000,63900,64400,44282
2023-01-30,59699.79297,63300,64900,63100,64900,59628
2023-01-31,57907.85156,61400,63700,61000,63500,163847
2023-02-01,57530.60156,61000,62700,61000,62600,98585
2023-02-02,59888.41797,63500,63900,62600,63200,65992
2023-02-03,59888.41797,63500,64000,63000,63900,47567
2023-02-06,58096.47266,61600,63000,61600,62800,144104
2023-02-07,58473.72656,62000,62500,61600,61900,32873
2023-02-08,59511.16406,63100,63300,62400,62800,42558
2023-02-09,59699.79297,63300,63300,62300,63000,48035
2023-02-10,59322.53906,62900,63000,62400,62600,44786
2023-02-13,59322.53906,62900,63000,62300,62900,59395
2023-02-14,59605.47656,63200,63900,63200,63600,70606
2023-02-15,58662.35547,62200,63900,62000,63900,58370
2023-02-16,60077.03516,63700,63700,62400,62500,41448
2023-02-17,59039.59766,62600,63300,62400,62900,28613
2023-02-20,59133.92188,62700,63000,61800,62900,29846
2023-02-21,58568.03516,62100,62800,62000,62700,60971
2023-02-22,57624.91406,61100,61800,61000,61500,39178
2023-02-23,58473.72656,62000,62500,61500,61700,37145
2023-02-24,57813.53516,61300,62600,61300,62300,50792
